Country_Region,Province_State,World_Bank_Name,Health_exp_pct_GDP_2016,Health_exp_public_pct_2016,Health_exp_out_of_pocket_pct_2016,Health_exp_per_capita_USD_2016,per_capita_exp_PPP_2016,External_health_exp_pct_2016,Physicians_per_1000_2009-18,Nurse_midwife_per_1000_2009-18,Specialist_surgical_per_1000_2008-18,Completeness_of_birth_reg_2009-18,Completeness_of_death_reg_2008-16,iso_alpha3
Syria,,Syrian Arab Republic,,,,,,,1.2,1.5,,,92.0,SYR
,,Tajikistan,7.0,28.6,66.1,55.7,208.5,5.1,1.7,5.2,41.7,95.8,,XXX
Tanzania,,Tanzania,4.1,40.6,21.9,35.5,112.0,36.4,0.0,0.4,0.5,26.4,,TZA
Thailand,,Thailand,3.7,78.1,12.1,221.9,635.0,0.2,0.8,3.0,13.1,100.0,,THA
Timor-Leste,,Timor-Leste,4.0,55.8,8.9,79.9,121.7,31.6,0.7,1.7,0.9,60.4,,TLS
Togo,,Togo,6.6,20.0,50.4,38.8,99.9,20.7,0.0,0.3,0.5,78.0,,TGO
,,Tonga,5.3,65.9,11.0,203.2,311.4,19.4,0.5,3.9,14.0,93.0,,XXX
Trinidad and Tobago,,Trinidad and Tobago,6.5,52.8,40.1,1063.8,2180.5,0.1,2.7,3.5,30.9,97.0,85.0,TTO
Tunisia,,Tunisia,7.0,56.6,39.9,256.5,806.3,0.1,1.3,2.6,11.5,99.0,37.0,TUN
Turkey,,Turkey,4.3,78.4,16.5,468.6,1089.2,,1.8,2.6,47.6,99.0,78.0,TUR
,,Turkmenistan,6.6,18.5,76.2,422.8,1116.9,0.2,2.2,4.6,58.8,100.0,,XXX
,,Turks and Caicos Islands,,,,,,,,,,,,XXX
,,Tuvalu,15.5,84.5,0.7,507.4,601.0,12.2,0.9,3.8,26.1,,,XXX
Uganda,,Uganda,6.2,16.6,40.3,37.6,117.1,40.4,0.1,0.6,1.1,32.2,,UGA
Ukraine,,Ukraine,6.7,42.4,54.3,141.2,534.2,0.8,3.0,7.1,86.6,100.0,99.0,UKR
United Arab Emirates,,United Arab Emirates,3.5,72.5,18.6,1323.1,2546.2,0.0,2.4,5.6,,100.0,87.0,ARE
United Kingdom,,United Kingdom,9.8,80.2,15.1,3958.0,4177.8,0.0,2.8,8.3,133.3,100.0,100.0,GBR
